PRODUCT;AGE;AREA;RESIDENTIAL_PLACE;EDUCATION;MARITAL_STATUS;HOUSEHOLD_MEMBERS;NO_OF_DEPENDENTS;INCOME;WORK_SENIORITY;BUSINESS AGE;ECONOMIC_SECTOR;EMPLOYEE_NO;LENGTH_RELATIONSHIP_WITH_CLIENT;DEBIT_CARD;CURRENT_ACCOUNT;SAVING_ACCOUNT;SALARY_ACCOUNT;FOREIGN_ACCOUNT;FINALIZED_LOAN;DEPOSIT;PENSION_FUNDS;DEFAULT_FLAG
B;32;Rural area;Living with family;University;married;2;0;3956.875;8;16;Information and communication;between 101-250;1;False;0;0;0;0;0;0;0;0
B;33;County capital;Living with family;University;single;1;0;1511.1475;2;6;Other;> 1.000;7;True;1;0;0;0;0;0;0;0
C;46;County capital;Owner without mortgage;University;married;2;0;1618.0;10;38;Real estate activities;between 501-1.000;10;False;0;0;0;0;0;0;0;0
C;58;Rural area;Owner without mortgage;Middle school;married;2;0;911.0;5;16;Missing;Missing;13;True;1;0;0;0;1;0;0;0
F;32;County capital;Living with family;Post-graduate;single;1;0;1716.25;3;25;Education;between 21-50;2;False;0;0;0;0;0;0;0;0
E;43;Urban area;Living with family;Highschool;married;2;0;1634.33;3;3;Mining and quarrying;> 1.000;1;True;1;0;1;0;0;0;0;0
B;52;County capital;Owner without mortgage;Missing;single;1;0;3437.66;3;4;Transportation and storage;between 251-500;15;False;0;0;0;0;0;0;0;0
F;30;Rural area;Other;Post secondary school;single;1;0;3562.05;3;8;Transportation and storage;between 501-1.000;10;False;0;0;0;0;0;0;0;0
C;62;Rural area;Owner without mortgage;Highschool;married;2;0;696.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
C;39;Rural area;Owner without mortgage;University;married;4;2;2377.33;17;42;Human health and social work activities;> 1.000;15;True;1;0;0;0;0;0;0;0
B;43;County capital;Owner without mortgage;University;single;1;0;1226.0;1;12;Other;> 1.000;1;True;1;0;1;0;0;0;0;0
B;49;Rural area;Owner without mortgage;Highschool;married;2;0;741.0;11;21;Construction;between 11-20;2;False;0;0;0;0;0;0;0;0
F;24;Rural area;Owner with mortgage;Highschool;single;1;0;1659.03;3;33;Manufacturing;> 1.000;2;False;0;0;0;0;0;0;0;0
C;68;Rural area;Owner without mortgage;Missing;single;1;0;1226.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
C;66;County capital;Owner without mortgage;Highschool;single;1;0;1121.0;5;16;Missing;Missing;2;True;1;0;1;0;0;0;0;0
F;28;Urban area;Living with family;Other;married;2;0;1032.4;6;22;Wholesale and retail trade;between 21-50;8;False;0;0;0;0;1;0;0;0
B;27;Rural area;Owner without mortgage;College;married;2;0;843.0;2;16;Wholesale and retail trade;> 1.000;1;False;0;0;0;0;0;0;0;0
E;64;Urban area;Owner without mortgage;Vocational school;married;2;0;797.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
C;56;Urban area;Owner without mortgage;Post secondary school;married;2;0;1128.495;14;19;Manufacturing;between 251-500;11;False;0;0;0;0;1;0;0;0
B;29;County capital;Living with family;University;single;1;0;825.75;7;24;Wholesale and retail trade;between 21-50;3;False;1;0;0;0;1;0;0;0
E;41;Urban area;Owner without mortgage;College;married;3;1;1213.0;2;21;Manufacturing;between 251-500;2;True;1;0;1;0;0;0;0;0
C;62;Rural area;Owner without mortgage;Highschool;married;2;0;1066.0;5;16;Missing;Missing;9;True;1;0;0;0;1;0;0;0
C;46;Urban area;Owner with mortgage;Highschool;married;2;0;2895.5025;22;55;Public administration and defence;between 251-500;9;False;1;0;0;0;1;0;0;0
C;43;Rural area;Owner without mortgage;Highschool;married;2;0;1201.4975;5;16;Human health and social work activities;> 1.000;9;True;1;0;0;0;0;0;0;0
C;49;Urban area;Owner without mortgage;Post secondary school;married;2;0;1547.0;5;16;Missing;Missing;13;False;1;0;0;0;1;0;0;0
C;39;Rural area;Living with family;Post secondary school;single;1;0;698.0;2;7;Accommodation and food service activities;between 501-1.000;1;False;0;0;0;0;0;0;0;0
C;36;Rural area;Owner without mortgage;Highschool;single;1;0;1102.0;2;12;Manufacturing;between 101-250;2;False;0;0;0;0;0;0;0;1
C;27;Rural area;Owner without mortgage;Missing;single;1;0;684.0;2;22;Construction;between 51-100;2;True;1;0;1;0;0;0;0;0
C;54;Urban area;Living with family;Highschool;married;2;0;1853.3275;19;34;Manufacturing;between 251-500;9;False;0;0;0;0;1;0;0;0
C;68;County capital;Owner without mortgage;Post secondary school;widow;1;0;926.0;5;16;Missing;Missing;8;False;0;0;0;0;1;0;0;0
C;34;County capital;Owner without mortgage;University;single;1;0;1300.0;10;19;Information and communication;between 11-20;14;False;0;0;0;0;0;0;0;0
F;26;Rural area;Living with family;University;married;2;0;1371.25;6;68;Public administration and defence;between 501-1.000;2;False;0;0;0;0;0;0;0;0
C;55;Urban area;Owner without mortgage;University;married;2;0;3541.5;2;12;Transportation and storage;between 251-500;2;False;0;0;0;0;0;0;0;0
C;64;Rural area;Owner without mortgage;Highschool;single;1;0;1573.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
F;64;County capital;Owner without mortgage;College;married;2;0;3985.0;4;12;Manufacturing;between 21-50;1;True;1;0;1;0;0;0;0;0
C;59;County capital;Owner without mortgage;Other;married;2;0;2821.6225;29;60;Manufacturing;> 1.000;1;True;1;0;0;0;0;0;0;0
F;34;County capital;Owner with mortgage;University;married;2;0;1517.395;10;50;Education;> 1.000;2;False;0;0;0;0;0;0;0;0
F;29;County capital;Living with family;Post secondary school;single;1;0;3871.28;9;18;Manufacturing;> 1.000;2;False;0;0;0;0;0;0;0;1
C;27;Rural area;Owner without mortgage;Highschool;married;3;1;1692.78;3;12;Other;> 1.000;1;False;0;0;0;0;0;0;0;0
C;33;County capital;Living with family;Vocational school;married;2;0;1138.6075;12;15;Manufacturing;between 251-500;1;True;1;0;0;0;0;0;0;0
C;68;Rural area;Owner without mortgage;Highschool;married;2;0;680.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;65;County capital;Owner without mortgage;Post secondary school;single;1;0;1189.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
B;65;Rural area;Other;Middle school;single;1;0;1466.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;1
F;29;County capital;Living with family;University;single;1;0;2471.685;3;21;Transportation and storage;between 251-500;1;False;0;0;0;0;0;0;0;0
F;28;County capital;Living with family;University;single;1;0;2197.0;4;5;Transportation and storage;between 501-1.000;6;False;0;0;0;0;0;0;0;0
B;29;County capital;Owner without mortgage;Missing;married;2;0;2263.6525;3;5;Other;between 501-1.000;7;True;1;0;0;0;0;0;0;0
E;66;County capital;Owner without mortgage;College;single;1;0;775.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
C;24;Rural area;Living with family;Highschool;single;1;1;1658.105;4;12;Manufacturing;between 501-1.000;1;True;1;0;0;0;0;0;0;0
F;40;County capital;Owner with mortgage;University;married;2;0;2333.75;2;7;Financial and insurance activities;between 51-100;2;True;1;1;0;0;0;0;0;0
B;30;Rural area;Owner without mortgage;Post-graduate;married;2;0;8461.596;3;6;Other;between 251-500;1;True;1;0;1;0;0;0;0;0
F;35;County capital;Living with family;University;divorced;1;0;2104.0;5;24;Other;between 101-250;1;True;1;0;1;0;0;0;0;0
F;33;County capital;Living with family;University;single;1;0;1870.5;8;13;Public administration and defence;between 501-1.000;8;False;0;0;0;0;0;0;0;0
B;63;County capital;Owner without mortgage;Highschool;married;2;0;849.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
F;38;Rural area;Living with family;University;married;3;1;2073.9975;11;24;Missing;between 501-1.000;14;False;0;0;0;0;1;0;0;0
B;61;County capital;Owner without mortgage;Other;widow;1;0;743.85;10;10;Human health and social work activities;between 501-1.000;9;False;1;0;0;0;1;0;0;0
C;42;Urban area;Owner without mortgage;Middle school;married;3;1;1331.004;5;15;Wholesale and retail trade;between 0-10;9;False;0;0;0;0;1;0;0;0
C;43;County capital;Owner without mortgage;Highschool;married;2;0;2816.665;3;10;Transportation and storage;between 21-50;7;False;0;0;0;0;0;0;0;0
C;67;Rural area;Owner without mortgage;Post secondary school;single;1;0;1611.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
B;26;County capital;Living with family;Missing;single;1;0;1438.3325;1;23;Information and communication;> 1.000;6;True;1;0;0;0;0;0;0;0
C;66;Urban area;Owner without mortgage;Highschool;married;2;0;695.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
B;55;County capital;Owner without mortgage;University;married;2;0;1855.0;7;17;Manufacturing;between 251-500;9;True;1;0;1;0;0;0;0;0
B;44;County capital;Owner without mortgage;University;married;3;1;975.0;1;63;Professional, scientific and technical activities;between 51-100;1;True;1;0;1;0;0;0;0;0
F;28;Urban area;Living with family;University;married;2;0;791.0;3;22;Education;between 21-50;9;True;1;0;0;0;0;0;0;0
E;66;Rural area;Owner without mortgage;Post secondary school;married;2;0;1274.0;5;16;Missing;Missing;9;True;1;0;1;0;1;0;0;0
C;32;Rural area;Owner without mortgage;University;married;2;0;187.0;2;22;Accommodation and food service activities;between 101-250;9;False;1;0;0;0;0;0;0;0
B;47;County capital;Owner without mortgage;Vocational school;married;2;0;1370.4675;2;10;Other;between 51-100;8;False;0;0;0;0;1;0;0;0
C;38;County capital;Living with family;Highschool;married;2;0;1459.82;3;15;Manufacturing;> 1.000;1;True;1;0;1;0;0;0;0;0
C;41;Rural area;Owner without mortgage;Highschool;divorced;2;1;1175.83;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
B;24;Rural area;Living with family;University;married;2;0;1078.455;2;10;Manufacturing;> 1.000;2;False;0;0;0;0;0;0;0;0
C;44;County capital;Owner without mortgage;Post-graduate;single;1;0;1488.0;4;55;Education;between 51-100;9;True;1;0;1;0;0;0;0;0
E;22;Urban area;Living with family;Post secondary school;single;2;1;2511.66;1;14;Mining and quarrying;> 1.000;1;True;1;0;1;0;0;0;0;0
C;27;County capital;Living with family;Missing;single;1;0;993.75;5;22;Construction;> 1.000;8;False;0;0;0;0;1;0;0;0
C;51;Urban area;Owner without mortgage;Highschool;married;3;1;933.85;9;18;Human health and social work activities;> 1.000;10;False;0;0;0;0;1;0;0;0
B;25;County capital;Living with family;Post-graduate;single;1;0;1123.5;2;24;Transportation and storage;between 501-1.000;2;True;1;0;1;0;0;0;0;0
C;66;Urban area;Owner without mortgage;Missing;widow;1;0;1030.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
C;34;Rural area;Living with family;Vocational school;single;2;1;1473.0;4;16;Manufacturing;> 1.000;11;False;1;0;0;0;1;0;0;0
F;35;Rural area;Living with family;University;single;1;0;2500.0;3;21;Construction;between 101-250;2;False;0;0;0;0;0;0;0;0
B;26;Rural area;Living with family;Highschool;divorced;1;0;1585.25;2;8;Wholesale and retail trade;> 1.000;2;False;0;0;0;0;0;0;0;0
C;28;Urban area;Living with family;Post secondary school;single;1;0;1337.0;3;11;Manufacturing;> 1.000;2;False;0;0;0;0;0;0;0;0
C;38;Urban area;Owner without mortgage;Vocational school;married;2;0;887.745;7;21;Manufacturing;> 1.000;2;False;0;0;0;0;0;0;0;0
B;30;Rural area;Owner without mortgage;Vocational school;married;3;1;1491.5775;3;23;Missing;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;23;Urban area;Owner without mortgage;University;single;1;0;1514.33;3;8;Manufacturing;between 21-50;2;False;0;0;0;0;0;0;0;0
B;46;County capital;Owner with mortgage;Other;married;2;0;1100.8275;9;9;Other;between 21-50;11;True;1;0;0;0;1;0;0;0
C;60;County capital;Owner without mortgage;University;married;2;0;1944.0;20;116;Other;between 251-500;1;False;0;0;0;0;0;0;0;0
B;34;Rural area;Living with family;Missing;married;2;0;1220.75;4;15;Agriculture, hunting and forestry;> 1.000;1;False;0;0;0;0;0;0;0;1
E;46;Rural area;Owner without mortgage;Vocational school;married;3;1;988.0;7;24;Water supply;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;69;Urban area;Owner without mortgage;Vocational school;married;2;0;1648.0;5;16;Missing;Missing;5;False;0;0;0;0;1;0;0;0
F;31;County capital;Living with family;Post-graduate;single;1;0;1473.0;5;16;Financial and insurance activities;> 1.000;6;False;0;0;0;0;0;0;0;0
C;55;Urban area;Owner without mortgage;Highschool;married;2;0;1123.0;22;23;Human health and social work activities;between 251-500;1;False;0;0;0;0;0;0;0;0
B;61;Urban area;Owner without mortgage;Highschool;widow;1;0;644.0;5;16;Missing;Missing;2;True;1;0;0;0;0;0;0;0
B;64;Urban area;Owner without mortgage;Highschool;divorced;1;0;989.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
F;34;County capital;Living with family;University;single;1;0;5555.745;7;9;Wholesale and retail trade;between 21-50;1;False;0;0;0;0;0;0;0;0
F;35;County capital;Owner without mortgage;Post-graduate;single;1;0;2002.0;3;21;Wholesale and retail trade;between 51-100;2;False;0;0;0;0;0;0;0;0
E;65;Urban area;Owner without mortgage;Missing;married;2;0;1065.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
B;38;Urban area;Owner without mortgage;Highschool;married;2;0;683.0;7;21;Manufacturing;between 51-100;1;True;1;0;1;0;0;0;0;0
E;26;County capital;Living with family;Post secondary school;single;1;0;1094.0;2;12;Other;> 1.000;2;True;1;0;1;0;0;0;0;1
B;22;Urban area;Living with family;Post secondary school;single;2;1;2511.66;1;14;Mining and quarrying;> 1.000;1;True;1;0;1;0;0;0;0;0
B;37;Rural area;Owner without mortgage;Highschool;single;1;0;927.8;8;12;Manufacturing;between 0-10;2;False;0;0;0;0;0;0;0;0
B;45;Rural area;Owner without mortgage;Other;divorced;1;0;621.0;5;15;Manufacturing;between 51-100;1;True;1;0;0;0;0;0;0;0
B;57;Urban area;Owner without mortgage;Highschool;married;2;0;855.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
C;42;Urban area;Owner without mortgage;Post secondary school;married;2;0;1852.6925;3;3;Mining and quarrying;> 1.000;13;False;0;0;0;0;1;0;0;0
B;39;Urban area;Owner without mortgage;Other;married;2;0;670.0;4;21;Wholesale and retail trade;between 0-10;4;False;0;0;0;0;0;0;0;0
C;59;Urban area;Owner without mortgage;Highschool;married;2;0;1016.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;37;County capital;Living with family;University;married;3;1;6332.3525;2;21;Financial and insurance activities;between 21-50;11;False;0;0;0;0;1;0;0;0
C;57;Rural area;Owner without mortgage;Highschool;married;2;0;822.0;12;12;Other;between 21-50;9;False;1;0;0;0;0;0;0;0
B;24;Urban area;Owner without mortgage;Other;single;1;0;1114.75;2;2;Manufacturing;between 501-1.000;1;True;1;0;0;0;0;0;0;0
E;63;County capital;Owner without mortgage;Highschool;married;2;0;751.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
E;65;Rural area;Living with family;Vocational school;single;1;0;749.0;5;16;Missing;Missing;10;True;1;0;0;0;1;0;0;0
A;51;County capital;Owner with mortgage;University;married;2;0;3721.2475;25;51;Education;between 21-50;1;True;1;0;0;0;0;0;0;0
C;56;Urban area;Owner without mortgage;Vocational school;married;2;0;1658.455;2;24;Construction;between 101-250;1;True;1;0;0;0;0;0;0;0
C;53;County capital;Owner without mortgage;Highschool;single;1;0;3004.08;24;24;Transportation and storage;between 251-500;14;False;0;0;0;0;0;0;0;0
B;41;Rural area;Owner without mortgage;University;married;2;0;2187.0;7;7;Education;between 21-50;2;False;0;0;0;0;0;0;0;0
C;60;County capital;Owner without mortgage;Highschool;married;2;0;1188.25;3;14;Electricity and gas;between 21-50;13;False;0;0;0;0;0;0;0;0
E;45;Urban area;Owner without mortgage;Vocational school;married;2;0;1997.83;26;42;Electricity and gas;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;36;Rural area;Living with family;Post secondary school;married;3;1;2171.0;8;8;Electricity and gas;between 101-250;1;False;1;0;0;0;0;0;0;1
C;51;Urban area;Owner without mortgage;University;widow;1;0;2187.3325;5;5;Mining and quarrying;between 501-1.000;5;True;1;0;0;0;0;0;0;0
C;64;Rural area;Owner without mortgage;Highschool;single;1;0;735.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
F;30;County capital;Living with family;Missing;single;1;0;3791.0;7;25;Missing;> 1.000;12;False;0;0;0;0;0;0;0;0
E;66;County capital;Owner without mortgage;University;married;2;0;1491.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
C;62;Urban area;Owner without mortgage;Vocational school;married;2;0;738.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;23;Urban area;Owner without mortgage;Highschool;married;2;0;1297.0;1;16;Public administration and defence;> 1.000;1;True;1;0;1;0;0;0;0;0
F;32;County capital;Owner with mortgage;University;single;1;0;2622.0;3;20;Other;between 501-1.000;1;True;1;0;0;0;0;0;0;0
C;36;Urban area;Living with family;Highschool;married;3;1;1700.0;2;15;Agriculture, hunting and forestry;between 501-1.000;11;False;0;0;0;0;1;0;0;0
F;43;Urban area;Owner without mortgage;Highschool;married;2;0;2716.78;4;6;Wholesale and retail trade;between 251-500;13;False;0;0;0;0;1;0;0;0
F;33;Urban area;Living with family;University;married;2;0;939.0;2;14;Transportation and storage;between 51-100;1;True;1;0;0;0;0;0;0;0
C;66;Urban area;Owner without mortgage;Highschool;married;2;0;1123.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
C;36;County capital;Living with family;Post secondary school;married;2;0;1800.0;4;21;Information and communication;> 1.000;1;False;0;0;0;0;0;0;0;0
C;39;County capital;Owner with mortgage;Post-graduate;married;4;2;3375.0;16;22;Public administration and defence;> 1.000;14;True;1;0;0;0;0;0;0;0
E;29;Rural area;Living with family;University;single;1;0;6085.0;7;65;Professional, scientific and technical activities;between 251-500;1;True;1;0;0;0;0;0;0;0
B;50;Urban area;Living with family;Highschool;married;2;0;1237.9825;9;22;Manufacturing;between 501-1.000;1;False;0;0;0;0;0;0;0;1
C;48;Rural area;Owner without mortgage;University;married;2;0;3222.5275;5;16;Missing;Missing;13;False;0;0;0;0;0;0;0;0
F;47;Missing;Living with family;Highschool;married;2;0;3675.0;4;7;Manufacturing;between 21-50;1;False;1;0;0;0;0;0;0;0
B;47;County capital;Living with family;Highschool;single;1;0;1148.995;27;39;Transportation and storage;between 501-1.000;1;True;1;0;0;0;0;0;0;1
B;50;County capital;Owner without mortgage;University;single;1;0;3730.0;9;9;Public administration and defence;between 21-50;9;True;1;0;0;0;0;0;0;0
C;32;Rural area;Owner without mortgage;Highschool;married;2;0;1387.4;2;22;Missing;between 251-500;1;True;1;0;0;0;0;0;0;0
C;66;Rural area;Owner without mortgage;Highschool;widow;1;0;874.0;5;16;Missing;Missing;1;False;1;0;0;0;0;0;0;0
C;48;Urban area;Owner without mortgage;Post secondary school;married;2;0;2923.65;5;24;Manufacturing;> 1.000;10;False;0;0;0;0;1;0;0;0
F;29;County capital;Living with family;University;married;2;0;1182.33;6;7;Missing;> 1.000;2;True;1;0;0;0;0;0;0;0
F;28;County capital;Living with family;University;single;1;0;1798.0;2;5;Wholesale and retail trade;between 0-10;7;False;0;0;0;0;0;0;0;0
F;30;Urban area;Living with family;Post secondary school;married;4;2;1265.8275;8;21;Manufacturing;between 251-500;9;False;0;0;0;0;0;0;0;0
C;48;Rural area;Owner without mortgage;Vocational school;married;2;0;874.5;1;9;Manufacturing;between 251-500;1;False;0;0;0;0;0;0;0;0
F;42;County capital;Living with family;University;married;5;3;1062.0;6;55;Education;between 21-50;12;True;1;0;0;0;0;0;0;0
C;47;Urban area;Owner without mortgage;Post secondary school;married;2;0;702.0;9;115;Public administration and defence;between 501-1.000;1;False;1;0;0;0;0;0;0;0
E;43;County capital;Owner without mortgage;University;married;1;0;750.0;5;24;Wholesale and retail trade;between 0-10;1;True;1;0;1;0;0;0;0;0
F;27;Rural area;Owner with mortgage;University;single;1;0;1933.0;3;5;Missing;> 1.000;1;True;1;0;0;0;0;0;0;0
C;29;County capital;Living with family;Highschool;single;1;0;1225.92;4;11;Manufacturing;> 1.000;7;False;0;0;0;0;0;0;0;0
F;31;County capital;Living with family;Post-graduate;single;1;0;5530.0;4;14;Professional, scientific and technical activities;between 51-100;12;False;1;0;0;0;0;0;0;0
B;64;County capital;Owner without mortgage;Highschool;widow;1;0;1212.0;5;16;Missing;Missing;11;True;1;0;0;0;1;0;0;0
B;37;Urban area;Owner without mortgage;Post secondary school;married;2;0;2080.0;8;21;Wholesale and retail trade;between 11-20;7;False;0;0;0;0;1;0;0;0
C;60;Rural area;Owner without mortgage;Highschool;divorced;1;0;787.392;8;19;Construction;between 51-100;2;True;1;0;1;0;0;0;0;0
F;33;Rural area;Living with family;Other;married;2;0;1054.75;6;15;Wholesale and retail trade;between 11-20;1;False;1;0;0;0;0;0;0;0
F;30;Rural area;Living with family;Post secondary school;married;2;0;781.0;5;6;Accommodation and food service activities;between 251-500;10;False;0;0;0;0;1;0;0;0
E;61;County capital;Owner without mortgage;Highschool;married;2;0;1065.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
B;44;Rural area;Other;Vocational school;married;4;2;2498.0;3;3;Electricity and gas;between 501-1.000;1;True;1;0;1;0;0;0;0;0
B;64;Rural area;Owner without mortgage;Middle school;widow;1;0;846.0;5;16;Missing;Missing;1;False;0;0;0;0;0;0;0;0
C;47;County capital;Owner without mortgage;Post-graduate;married;2;0;1284.0;8;15;Manufacturing;between 0-10;1;True;1;0;0;0;0;0;0;0
F;31;County capital;Living with family;Missing;single;1;0;4082.0;3;4;Other;between 101-250;12;False;0;0;0;0;0;0;0;0
F;49;County capital;Owner without mortgage;University;married;2;0;4993.0;7;66;Public administration and defence;between 251-500;13;False;0;0;0;0;1;0;0;0
F;34;County capital;Living with family;Post-graduate;single;1;0;2601.0;3;4;Professional, scientific and technical activities;between 0-10;13;False;0;0;0;0;0;0;0;0
B;26;County capital;Living with family;Other;single;1;1;937.5;2;21;Manufacturing;between 501-1.000;9;True;1;0;0;0;0;0;0;1
C;41;Rural area;Living with family;Highschool;single;1;0;1293.87;2;17;Manufacturing;> 1.000;1;True;1;0;0;0;0;0;0;0
E;60;Urban area;Owner without mortgage;University;married;2;0;1230.0;13;13;Missing;between 101-250;1;True;1;0;1;0;0;0;0;0
B;28;Rural area;Living with family;Post secondary school;single;1;0;1397.45;2;12;Other;> 1.000;1;True;1;0;0;0;0;0;0;0
E;48;Urban area;Owner without mortgage;Missing;married;2;0;844.35;1;5;Other;between 101-250;1;True;1;0;1;0;0;0;0;1
C;65;Rural area;Living with family;Vocational school;married;2;0;785.0;5;16;Missing;Missing;10;False;0;0;0;0;0;0;0;0
C;22;Rural area;Living with family;University;single;1;0;1268.5025;2;11;Manufacturing;> 1.000;1;True;1;0;0;0;0;0;0;0
B;31;Rural area;Owner without mortgage;Post secondary school;single;1;0;1702.58;5;13;Manufacturing;between 101-250;1;False;0;0;0;0;0;0;0;1
B;41;Urban area;Owner without mortgage;University;married;2;0;2000.5;8;11;Public administration and defence;between 501-1.000;2;False;0;0;0;0;0;0;0;0
F;29;County capital;Owner with mortgage;Other;married;2;0;1715.0;2;26;Public administration and defence;between 501-1.000;4;True;1;0;0;0;0;0;0;0
C;62;Rural area;Owner without mortgage;University;married;2;0;1414.0;5;16;Missing;Missing;1;True;1;0;0;0;0;0;0;0
C;25;Rural area;Living with family;Other;married;2;0;1183.1;2;14;Manufacturing;> 1.000;1;False;0;0;0;0;0;0;0;0
F;26;County capital;Living with family;University;married;2;0;1014.0;2;7;Wholesale and retail trade;between 0-10;2;False;0;0;0;0;0;0;0;0
C;36;Rural area;Owner without mortgage;Highschool;married;2;0;2692.83;18;18;Mining and quarrying;> 1.000;12;True;1;0;0;0;1;0;0;0
C;64;Rural area;Living with family;Other;widow;1;0;500.0;5;16;Missing;Missing;7;True;1;0;0;0;0;0;0;0
F;36;County capital;Owner with mortgage;University;married;3;1;2885.0025;7;7;Wholesale and retail trade;between 11-20;12;False;0;0;0;0;1;0;0;0
F;31;County capital;Living with family;Post-graduate;married;3;1;2550.0;3;6;Manufacturing;between 251-500;9;False;0;0;0;0;0;0;0;0
F;25;County capital;Living with family;Highschool;single;1;0;1309.0;2;"";Missing;between 101-250;9;False;0;0;0;0;0;0;0;0
C;57;Rural area;Owner without mortgage;Highschool;married;2;0;1283.0;17;17;Manufacturing;between 501-1.000;12;False;0;0;0;0;1;0;0;0
C;37;Urban area;Owner without mortgage;Highschool;married;2;0;1359.2125;1;18;Manufacturing;> 1.000;1;False;0;0;0;0;0;0;0;0
C;57;Urban area;Owner without mortgage;University;married;2;0;1412.0;32;32;Missing;between 251-500;3;False;1;0;0;0;0;0;0;0
E;38;County capital;Living with family;Post-graduate;married;2;0;4998.5;18;18;Financial and insurance activities;between 251-500;12;True;1;0;0;0;0;0;0;0
C;27;Rural area;Living with family;University;single;1;0;643.0;4;23;Agriculture, hunting and forestry;between 21-50;1;False;0;0;0;0;0;0;0;0
E;66;Urban area;Owner without mortgage;Missing;single;1;0;1238.0;5;16;Missing;Missing;1;True;1;0;1;0;0;0;0;0
F;48;County capital;Owner without mortgage;University;single;1;0;1970.83;3;3;Mining and quarrying;> 1.000;12;False;0;0;0;0;1;0;0;0
C;41;Rural area;Owner without mortgage;Vocational school;married;2;0;1298.0;5;5;Manufacturing;> 1.000;12;False;1;0;0;0;1;0;0;0
F;45;County capital;Owner without mortgage;University;single;1;0;1407.5;2;25;Education;> 1.000;14;True;1;0;0;0;0;0;0;0
F;33;County capital;Living with family;Post-graduate;single;1;0;2651.5;7;12;Wholesale and retail trade;between 21-50;11;False;0;0;0;0;0;0;0;0
E;39;Rural area;Owner without mortgage;University;married;2;0;621.0;5;36;Education;between 21-50;1;True;1;0;1;0;0;0;0;0
C;27;County capital;Living with family;University;single;1;0;1746.0;5;5;Other;between 101-250;1;True;1;0;1;0;0;0;0;0
F;38;Rural area;Living with family;University;single;1;0;927.0;9;14;Wholesale and retail trade;between 0-10;2;False;0;0;0;0;0;0;0;0
F;34;Urban area;Living with family;University;married;3;1;4963.5;4;6;Wholesale and retail trade;between 0-10;13;False;0;0;0;0;0;0;0;0
F;32;Rural area;Living with family;Missing;married;2;0;2528.0;8;17;Financial and insurance activities;between 251-500;2;False;0;0;0;0;0;0;0;0
B;64;County capital;Owner without mortgage;Highschool;divorced;1;0;1236.0;5;16;Missing;Missing;2;False;0;0;0;0;0;0;0;0
F;37;County capital;Owner without mortgage;Post-graduate;single;1;0;8334.0;11;19;Public administration and defence;between 251-500;11;False;0;0;0;0;0;0;0;0
E;43;Urban area;Other;Highschool;married;3;1;954.0;8;18;Manufacturing;between 101-250;8;True;1;0;0;0;0;0;0;0
C;57;County capital;Owner without mortgage;Vocational school;widow;1;0;810.0;38;56;Other;> 1.000;2;False;0;0;0;0;0;0;0;0
E;29;Rural area;Living with family;University;single;1;0;1367.496;5;49;Public administration and defence;between 21-50;2;True;1;0;1;0;0;0;0;0
E;67;County capital;Owner without mortgage;Highschool;married;2;0;521.0;5;16;Missing;Missing;2;True;1;0;1;0;0;0;0;0
F;28;Urban area;Owner with mortgage;University;married;3;2;5760.27;6;13;Other;between 0-10;7;False;0;0;0;0;0;0;0;0
C;63;County capital;Owner without mortgage;Highschool;married;2;0;1447.0;5;16;Missing;Missing;12;True;1;0;0;0;0;0;0;0
B;42;County capital;Owner with mortgage;University;single;1;0;12087.0;4;10;Wholesale and retail trade;> 1.000;1;True;1;0;0;0;0;0;0;0
F;36;County capital;Owner with mortgage;University;married;3;1;4731.66;6;44;Human health and social work activities;> 1.000;2;False;0;0;0;0;0;0;0;0
