season,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,class
a,8.36,p,,n,f,a,,w,7.04,12.6,,,g,,,f,f,,d,e
a,3.54,x,s,o,f,a,c,y,5.81,7.45,,g,o,,,f,f,,g,p
w,3.8,x,t,n,f,d,,o,5.54,6.41,,t,w,,,f,f,,d,e
u,5.53,x,d,y,t,p,,y,7.12,14.7,,,y,,,f,f,,d,e
w,9.05,x,s,n,f,s,,g,5.09,7.84,,y,n,,,f,f,,d,p
a,11.67,x,e,y,t,p,,o,9.14,33.65,,,e,,,f,f,,d,p
s,4.71,x,,w,f,x,c,w,8.28,9.19,b,,w,,w,t,,,d,e
a,3.16,x,y,o,f,a,,y,3.0,5.2,,,o,,,f,f,,h,p
a,16.17,f,e,n,f,a,c,w,8.66,25.88,s,,w,,,f,f,,d,e
a,2.01,c,h,y,f,,,y,7.36,2.9,,,y,,,f,f,,g,p
a,5.09,f,y,n,f,s,,y,4.6,7.61,,,w,,,f,f,,d,e
u,11.13,s,,w,t,d,c,y,5.58,24.26,,,w,,,f,f,,d,e
a,1.76,f,w,g,f,,d,k,4.57,2.32,,,w,,,f,f,,d,e
u,7.45,x,,n,f,x,c,w,6.75,13.1,,s,w,,,f,f,,d,e
a,6.5,s,d,y,f,d,c,y,3.6,7.09,,,o,,,f,f,,d,p
u,8.86,x,,n,t,,,w,11.25,14.37,b,,w,u,w,t,g,,d,e
a,4.08,x,h,o,f,a,c,y,6.18,7.19,,g,o,,,f,f,,g,p
a,4.51,x,t,n,f,p,,n,5.25,12.1,,,e,,,f,f,,d,e
a,2.32,x,i,l,f,a,,w,4.66,2.72,,,w,,,f,f,p,g,p
a,1.27,x,w,n,f,,d,k,4.94,2.32,,,w,,,f,f,,g,e
a,5.69,f,s,n,f,s,c,w,5.31,8.94,b,i,w,,,f,f,,g,e
u,2.39,b,y,n,f,,c,n,6.03,2.66,,,w,,,f,f,,d,e
a,1.49,x,g,n,f,d,,w,5.4,1.97,,t,y,,,f,f,,d,e
w,7.78,x,s,n,f,e,c,w,7.15,9.1,,i,w,,,f,f,p,d,e
u,9.32,x,y,o,f,a,,o,11.34,21.6,r,,o,,,t,r,n,d,p
u,5.15,s,,n,t,d,c,w,5.76,5.72,,,e,,,f,f,,d,p
a,8.1,b,y,n,f,,,k,15.78,18.6,,,w,,,f,f,,d,p
a,1.44,b,h,n,f,a,,n,4.28,1.51,,t,n,,,f,f,,h,p
a,2.73,o,,g,f,f,f,f,3.24,13.32,,g,g,,,f,f,,d,p
u,10.21,x,t,n,t,p,,y,9.15,22.77,,,n,,,f,f,,d,e
a,0.98,b,t,n,f,,c,g,3.79,2.72,,,n,,,t,f,,m,p
a,2.19,b,g,o,f,,c,n,6.5,3.42,,,n,,,f,f,,m,p
u,11.38,x,s,n,f,d,d,w,7.68,15.18,,i,n,,,t,,w,d,e
u,16.55,x,h,n,t,p,,e,10.37,31.71,c,,y,,,f,f,,d,p
a,6.18,x,s,k,f,a,c,w,3.51,14.2,,,w,,,f,f,,d,e
a,0.82,x,g,e,f,a,,n,3.52,1.13,,h,k,,,f,f,,d,p
u,4.78,x,y,n,f,s,,w,5.36,8.25,,,w,,,f,f,,d,e
u,1.49,x,,n,f,,,n,5.24,2.56,,s,n,,,f,f,k,g,p
w,12.72,x,i,o,f,a,,o,15.25,25.54,r,,o,,,t,r,n,d,p
a,8.1,f,,n,f,s,c,g,6.26,19.05,b,,u,,,f,f,,d,e
a,6.25,x,y,n,f,e,c,p,5.51,10.36,,y,n,,,f,f,,d,e
a,6.3,s,d,e,t,d,c,n,6.61,9.88,,,e,,,f,f,,d,p
a,5.75,b,d,n,f,d,c,y,5.18,6.68,,i,y,,,t,,,d,p
a,3.78,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
u,5.33,x,i,e,f,e,,g,5.61,7.36,,,y,,,f,f,,g,p
u,8.26,p,g,n,f,e,,w,7.52,14.29,,y,w,u,w,t,p,,d,p
u,1.51,x,,n,f,,,n,5.19,2.37,,s,n,,,f,f,k,g,p
u,54.22,o,y,y,f,p,,y,8.14,36.21,,k,n,,,f,f,,d,e
u,47.84,o,y,y,f,p,,y,4.81,29.14,,k,k,,,f,f,,d,e
a,8.58,x,,n,t,,,w,10.8,15.71,b,,w,u,w,t,g,,d,e
u,5.58,s,k,y,f,p,,n,4.43,6.3,,k,n,,,t,f,,d,p
a,4.62,x,,w,f,x,c,g,6.4,4.2,,,w,,,f,f,,d,e
a,1.18,f,s,y,f,f,f,f,3.35,4.94,,,y,,,f,f,,d,p
a,3.6,b,y,n,f,,c,w,5.42,4.25,s,s,w,,,f,f,,d,p
a,1.84,f,h,n,f,,,y,7.14,2.95,,,y,,,f,f,,g,p
a,2.88,x,t,o,f,a,c,n,4.5,6.65,,y,o,,,t,z,,d,p
a,6.95,x,i,y,f,a,c,k,7.64,8.7,,i,n,,k,t,z,k,g,p
a,3.52,s,,n,f,f,f,f,6.49,6.85,,,y,,,f,f,,d,e
u,6.89,x,h,y,t,x,c,y,7.89,15.63,,,w,,,f,f,,d,e
a,17.38,x,h,n,t,p,,y,10.08,36.18,c,,y,,,f,f,,d,p
a,6.43,s,d,o,f,d,c,y,3.52,6.49,,,y,,,f,f,,h,p
u,11.55,s,s,y,f,x,,n,7.37,24.55,,,n,,,f,f,,d,e
a,2.4,x,g,n,f,a,,p,5.92,2.46,,,n,,,f,f,,d,p
a,10.93,f,e,b,f,,c,b,5.47,22.44,,,w,,,t,f,,d,e
u,6.86,b,t,w,f,e,c,w,13.46,13.58,,y,w,u,w,t,e,,d,p
a,11.65,x,t,r,t,d,c,b,5.06,24.01,,,r,,,f,f,,d,p
a,7.09,x,t,n,f,p,d,y,6.2,10.66,,s,n,,,f,f,,g,e
a,4.34,x,t,n,f,s,c,p,5.49,10.1,,,w,,n,t,z,,d,p
s,50.77,o,y,y,f,p,,y,4.63,32.8,,k,k,,,f,f,,d,e
a,8.3,f,s,n,f,s,c,w,4.74,9.04,b,i,w,,,f,f,,l,e
a,6.29,b,d,n,f,a,c,y,5.98,6.84,,i,n,,,t,,,d,p
u,8.13,x,s,r,t,s,d,w,6.05,16.98,r,i,n,,,f,f,,d,p
u,11.19,p,y,w,f,e,c,w,21.55,13.93,,s,w,,,t,e,,g,e
a,11.29,f,e,b,f,,c,b,4.95,20.67,,,w,,,t,f,,d,e
s,4.39,f,h,n,f,a,d,y,7.86,6.54,,k,n,,,f,f,,d,e
u,6.62,x,i,n,f,a,c,n,7.27,7.1,,i,n,,k,t,z,k,d,p
a,8.31,x,t,e,f,x,d,w,6.72,18.45,b,,w,,,f,f,,d,p
a,5.21,f,d,p,t,d,c,p,4.27,6.7,,,n,,,f,f,,d,e
a,6.08,f,w,y,f,f,f,f,5.65,14.32,,,y,,,f,f,,d,e
u,11.11,x,t,n,f,a,d,w,9.81,28.31,,,w,,,f,f,,d,p
u,4.0,x,y,y,f,a,,w,5.39,3.48,,y,y,,,t,r,,h,p
a,8.2,x,,n,t,x,,u,9.46,21.24,s,,g,,u,f,f,,d,p
u,2.64,b,y,n,f,,c,g,5.4,4.33,s,s,w,,,f,f,,d,p
u,5.05,f,k,y,f,p,,n,3.68,6.18,,k,n,,,t,f,,d,p
u,1.58,x,g,y,f,d,d,n,1.79,2.28,,s,n,,,f,f,,h,p
w,9.53,p,y,w,f,e,c,k,18.83,11.48,,s,w,,,t,e,,g,e
u,4.18,s,k,n,f,p,,n,3.25,6.05,,k,n,,,t,f,,d,p
u,16.9,p,d,o,f,p,,n,17.1,35.42,s,y,w,,,f,f,,d,e
a,11.59,x,h,n,t,p,,n,9.11,16.86,,,n,,w,t,p,,d,e
u,5.88,x,y,n,f,e,c,p,5.64,8.12,,y,n,,,f,f,,d,e
u,4.57,x,,b,f,x,,w,5.53,6.89,,,w,,,f,f,,d,p
w,5.8,x,h,n,f,x,c,n,5.32,5.5,,s,n,,,t,r,,d,e
u,12.85,f,t,g,t,d,c,b,5.16,24.77,,,n,,,f,f,,d,p
w,3.28,b,t,n,f,,,n,8.67,5.46,,,w,,,t,,k,g,p
a,1.79,c,g,n,f,a,,w,5.39,1.54,,,g,,,f,f,,d,e
a,3.81,x,t,n,f,s,c,p,6.12,9.78,,,w,,n,t,z,,d,p
a,9.73,x,,n,t,,,w,11.19,21.04,b,,w,u,w,t,g,,d,e
u,7.24,f,h,n,f,x,,w,13.3,8.12,r,g,n,,,f,f,,d,p
u,5.42,x,y,n,f,e,c,w,3.67,8.71,,y,n,,,f,f,,d,e
u,8.39,f,h,e,f,x,d,w,6.11,17.29,b,,w,,,f,f,,d,p
u,2.38,x,g,e,f,a,,w,6.87,2.63,,,n,,,f,f,,d,p
u,2.84,s,d,w,f,a,d,p,3.28,2.51,,h,w,,,f,f,,g,p
a,8.24,f,w,p,f,s,c,p,4.45,10.32,,,p,,,f,f,,d,p
a,3.69,f,t,n,f,x,c,p,5.08,3.68,,i,n,,,f,f,,d,p
u,1.17,x,s,y,f,f,f,f,3.78,5.58,,,y,,,f,f,,d,p
a,10.01,p,i,n,t,e,,p,8.75,16.32,,y,w,,,t,p,,d,e
a,12.13,x,i,y,f,a,,y,13.49,25.06,r,,o,,,t,r,n,d,p
a,10.21,f,y,w,f,e,c,k,20.7,12.58,,s,w,,,t,e,,u,e
a,11.77,f,,n,t,,,w,11.72,19.01,b,,w,u,w,t,g,,d,e
a,7.74,s,,l,f,s,c,b,6.75,19.07,,,b,,,f,f,,d,e
a,9.66,x,e,y,f,x,c,w,8.5,20.52,,,w,,,f,f,,d,e
u,5.74,c,i,y,f,,c,r,6.5,7.71,,,w,,,f,f,,d,p
a,3.82,x,t,n,f,s,c,n,5.71,9.34,,,w,,n,t,z,,d,p
a,6.25,s,,n,f,d,c,w,5.58,7.89,,s,w,,,f,f,,h,e
a,10.38,f,e,b,f,,c,b,5.34,20.41,,,w,,,t,f,,d,e
u,2.39,s,y,n,f,a,d,p,6.31,3.42,,i,n,,,f,f,,l,e
a,6.82,x,y,n,f,a,c,y,9.67,10.51,,y,n,,,t,,,d,p
a,8.69,f,,n,f,s,c,g,5.96,17.48,b,,u,,,f,f,,d,e
u,8.2,s,t,p,t,d,c,o,5.16,17.27,,,w,,,f,f,,d,e
a,6.36,f,y,u,f,s,c,y,7.44,16.95,,y,u,,,f,f,,d,p
a,8.99,x,e,y,f,x,c,w,7.44,17.96,,,w,,,f,f,,d,e
a,1.46,x,i,l,f,a,,p,3.68,2.43,,,w,,,f,f,p,g,p
a,1.45,f,w,g,f,,d,k,4.61,2.45,,,w,,,f,f,,d,e
a,5.64,x,,w,f,e,,w,5.52,11.19,b,,w,u,y,t,g,,d,e
a,9.18,x,e,n,t,p,,e,7.14,22.15,,,u,,,f,f,,d,p
s,9.45,o,,n,f,f,f,f,3.12,24.52,,g,n,,,f,f,,d,p
a,9.12,x,h,r,f,,c,w,11.12,15.65,,,w,u,w,t,p,,d,p
u,5.02,f,d,n,f,d,c,y,5.38,6.56,,i,n,,,t,,,d,p
u,4.61,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,p
u,3.78,f,h,n,f,,c,n,6.08,7.08,,s,w,,w,f,f,k,d,e
u,2.3,x,h,o,f,a,c,o,4.17,6.0,,,o,,,f,f,,m,e
u,16.61,x,k,w,t,d,d,w,7.14,28.99,,,w,,,f,f,,d,p
u,9.75,f,s,e,f,d,d,w,8.68,14.55,,i,n,,,t,,w,d,e
a,3.85,f,k,w,f,s,,p,4.23,3.01,,,n,,,f,f,p,g,p
u,4.12,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,p
u,0.91,x,k,n,f,,,n,2.19,1.26,,,n,,,f,f,,d,p
w,6.32,x,,n,f,d,c,y,6.11,9.68,b,,n,,,f,f,,l,p
u,5.2,f,w,y,f,f,f,f,6.09,16.94,,,y,,,f,f,,d,e
u,4.3,x,,w,f,x,c,w,8.53,10.19,b,,w,,w,t,,,g,e
a,7.15,f,w,p,f,s,c,p,5.07,10.72,,,p,,,f,f,,d,p
a,6.32,x,y,w,t,,,g,8.17,13.89,s,,w,,,t,l,,d,p
s,4.19,x,,n,f,x,c,n,7.63,7.87,b,,n,,w,t,,,d,e
a,11.18,x,e,n,t,p,,e,8.29,27.49,,,u,,,f,f,,d,p
s,4.43,x,,n,f,x,c,w,7.95,9.33,b,,w,,w,t,,,g,e
a,2.45,b,,n,f,a,,k,8.71,2.36,,,n,,w,f,f,k,g,p
w,12.75,x,e,y,f,a,,y,11.26,19.65,r,,o,,,t,r,n,d,p
w,6.92,f,w,p,f,s,c,p,3.42,9.01,,,p,,,f,f,,d,p
u,6.78,x,,w,f,e,,w,6.07,12.69,b,,w,u,y,t,g,,d,e
w,5.96,f,s,n,f,x,c,w,7.01,9.89,,s,n,,,f,f,,l,e
u,8.67,x,t,y,f,p,,y,6.62,14.14,,,y,,y,t,,,d,e
u,1.94,b,,g,f,a,,g,4.52,1.91,,s,g,,,f,f,,d,p
a,1.41,c,g,n,f,a,,g,4.95,1.31,,,g,,,f,f,,d,e
a,3.39,f,w,u,f,a,c,g,6.92,7.05,,s,u,,,f,f,,d,p
s,5.48,c,,n,f,f,f,f,4.73,20.15,,,n,,,f,f,,d,e
u,0.61,x,g,p,f,a,,n,4.13,0.98,,s,k,,,f,f,,d,p
a,9.12,s,,w,t,d,c,p,5.29,23.1,,,w,,,f,f,,d,e
u,8.29,x,,g,t,p,,g,11.7,26.91,,y,w,,,f,f,,d,e
s,7.33,x,s,w,f,s,c,w,7.03,28.99,,,w,,,f,f,,d,e
u,4.94,c,i,y,f,,c,r,6.85,8.16,,,w,,,f,f,,d,p
a,9.43,f,s,u,f,a,c,w,4.44,16.66,,,w,,,f,f,,d,e
a,6.41,s,,y,t,d,,o,3.88,10.39,,,w,,,t,f,,d,p
u,0.99,x,g,n,t,a,,w,5.65,1.11,,,n,,,f,f,,d,e
a,8.31,x,e,n,f,a,,n,9.47,13.62,s,,n,,n,f,f,,d,p
a,1.32,x,s,y,f,f,f,f,3.92,5.42,,,y,,,f,f,,d,p
w,11.88,f,y,e,f,,,w,6.77,26.59,b,,n,,w,t,e,,d,e
w,8.34,x,w,p,f,s,c,p,4.71,10.03,,,p,,,f,f,,d,p
w,2.9,b,h,n,f,,,k,9.0,6.04,,,w,,,t,,k,g,p
a,12.32,x,t,n,f,a,d,w,12.88,35.03,,,w,,,f,f,,d,p
s,9.24,x,d,w,f,s,c,w,6.87,29.29,,,w,,,f,f,,d,e
a,2.1,f,i,k,f,a,,w,4.63,2.66,,,w,,,f,f,p,g,p
a,9.94,f,,g,f,d,c,y,2.29,13.34,,,w,,,f,f,,d,e
u,2.85,f,w,n,t,d,c,n,3.43,5.5,,,n,,,f,f,,d,p
a,11.0,x,s,u,f,a,c,w,5.27,18.32,,,w,,,f,f,,d,e
u,17.49,x,k,w,t,d,d,n,7.05,32.3,,,w,,,f,f,,d,p
a,7.78,f,w,e,f,x,,w,12.52,7.67,r,g,n,,,f,f,,d,p
a,6.69,s,,n,f,d,c,w,5.99,9.51,,s,w,,,f,f,,l,e
a,8.76,f,s,e,f,d,d,w,9.9,16.21,,i,n,,,t,,w,d,e
a,1.28,x,,n,f,,,k,4.59,2.35,,s,n,,,f,f,k,g,p
u,16.72,p,w,n,f,p,,y,18.75,77.79,,,n,,,f,f,,d,e
a,6.07,f,,y,f,s,d,y,6.14,12.86,,i,y,,,f,f,,d,p
a,10.47,s,t,w,t,d,c,o,6.25,17.82,,,w,,,f,f,,d,e
u,19.32,f,s,w,f,a,d,y,6.21,24.09,,,w,,,f,f,w,d,e
u,5.92,x,g,n,f,e,,w,7.47,12.44,,y,w,u,w,t,p,,d,p
u,5.75,c,i,y,f,,c,n,6.7,7.33,,,w,,,f,f,,d,p
a,4.18,s,l,n,f,f,f,f,7.15,63.38,,,n,,,f,f,g,d,e
u,11.74,f,s,n,f,d,d,w,9.41,17.11,,i,n,,,t,,w,d,e
u,7.79,x,s,u,f,x,,n,4.94,18.96,,,w,,,f,f,,d,e
a,14.13,x,y,n,t,e,,w,9.7,16.36,,,w,,,t,,,g,e
a,13.05,x,g,o,f,e,,w,17.87,17.76,s,y,w,u,w,t,g,,d,p
u,3.57,b,g,n,f,x,d,w,5.31,3.29,,,y,,,f,f,,g,e
w,2.04,x,,b,f,,d,u,5.89,4.28,,,w,,,f,f,,d,e
a,2.72,c,,w,f,a,c,w,3.2,3.67,,i,u,,,f,f,,p,p
u,7.2,f,t,e,f,x,d,w,5.14,17.02,b,,w,,,f,f,,d,p
a,14.36,x,e,n,t,e,,w,9.55,17.89,,,w,,,t,,,d,e
a,3.83,b,g,g,f,a,d,g,5.7,3.36,,s,g,,,f,f,,d,e
a,4.48,o,,w,f,f,f,f,5.62,24.25,,g,w,,,t,f,,p,p
u,8.21,f,d,n,t,d,c,w,6.58,9.78,,,e,,,f,f,,d,p
a,1.09,f,s,y,f,f,f,f,2.59,4.57,,,y,,,f,f,,d,p
u,5.37,s,l,w,f,d,,w,3.4,9.55,,,w,,,f,f,,g,e
a,3.61,f,k,w,f,s,,p,4.51,3.24,,,n,,,f,f,p,g,p
u,9.39,x,d,n,t,p,,y,9.6,18.7,,,y,,,f,f,,d,e
u,1.59,o,k,n,f,,,n,3.9,1.42,,,n,,,f,f,,d,p
u,5.51,x,i,o,f,e,,k,7.2,7.59,,,k,,,f,f,,g,p
a,5.66,f,,n,f,d,c,w,5.03,9.87,b,,n,,,f,f,,l,p
a,6.71,x,y,w,t,,,n,7.4,12.37,s,,w,,,t,l,,g,p
a,12.61,x,,g,f,e,,w,11.17,16.18,,,w,u,w,t,g,,d,p
a,4.43,s,d,e,t,d,c,w,6.52,7.44,,,n,,,f,f,,d,p
u,9.81,x,e,l,f,x,c,w,6.49,18.89,,,w,,,f,f,,d,e
a,7.22,b,t,w,f,e,c,w,12.33,12.35,,y,w,u,w,t,e,,d,p
a,9.41,o,t,y,f,,c,o,1.43,16.03,,,n,,,f,f,,d,p
w,1.38,x,k,n,f,,,n,3.76,1.51,,,n,,,f,f,,d,p
a,19.47,x,d,o,f,p,,w,17.38,36.0,s,y,w,,,f,f,,d,e
a,3.51,f,d,b,f,x,c,y,3.46,2.88,b,i,n,,,f,f,,l,p
u,3.88,x,,p,f,x,,w,5.33,6.71,,,w,,,f,f,,d,p
w,19.68,f,k,w,t,d,d,w,7.64,27.54,,,w,,,f,f,,d,p
u,1.87,b,,n,f,a,,g,4.8,1.95,,s,n,,,f,f,,d,p
s,1.45,b,h,n,f,a,,n,4.36,1.33,,t,n,,,f,f,,d,p
u,6.69,x,s,g,t,s,d,r,5.49,16.61,r,i,n,,,f,f,,d,p
u,8.38,x,,n,f,a,,w,7.23,14.75,,,w,,,f,f,,g,e
a,3.49,x,k,n,f,p,,y,4.78,9.85,,,y,,,f,f,,d,e
u,0.91,b,t,n,f,,c,k,3.24,2.55,,,n,,,t,f,,m,p
a,17.64,f,y,n,f,,,w,26.55,19.23,s,,n,,,t,m,,m,e
u,6.84,x,y,w,t,,,w,8.5,13.76,s,,w,,,t,l,,g,p
a,7.53,b,y,n,f,,,p,16.25,17.21,,,w,,,f,f,,d,p
u,7.0,x,,p,f,x,c,w,6.41,16.11,,s,w,,,f,f,,d,e
u,3.68,b,g,w,f,x,d,w,4.08,3.26,,,y,,,f,f,,g,e
u,7.33,s,h,r,t,d,,w,4.33,12.19,,t,n,,,f,f,,d,p
u,3.02,b,t,r,f,s,c,u,4.83,5.89,,y,w,,,t,e,u,d,p
u,7.11,x,h,r,f,,c,w,10.29,13.23,,,w,u,w,t,g,,d,p
w,4.09,x,h,o,f,a,c,n,4.63,6.29,,y,n,,,t,z,,d,p
a,1.31,s,s,y,f,f,f,f,3.05,5.2,,,y,,,f,f,,d,p
u,5.49,o,l,n,f,f,f,f,6.65,48.13,,,n,,,f,f,g,l,e
s,5.03,o,,g,f,f,f,f,5.32,19.81,,,n,,,f,f,,d,e
u,3.06,f,w,p,f,a,,r,5.1,6.03,,t,y,,,f,f,,g,p
u,0.6,x,,o,f,d,,o,4.9,0.89,,,o,,,f,f,w,g,p
a,3.71,b,g,n,f,a,d,g,5.13,3.04,,s,g,,,f,f,,d,e
u,3.45,x,y,y,f,a,,w,4.71,3.34,,y,n,,,t,r,,d,p
u,8.38,f,s,u,f,a,c,w,4.28,14.81,,,w,,,f,f,,d,e
a,4.44,x,,e,f,,c,w,2.82,11.4,,,y,,,f,f,,d,p
s,6.47,x,h,n,f,x,c,n,5.54,6.29,,y,n,,,t,r,,d,e
a,7.76,x,e,e,f,a,,y,8.62,10.33,,,n,,w,t,z,,d,p
a,9.1,f,,n,t,,,w,11.45,20.24,b,,w,u,w,t,g,,d,e
u,3.03,x,d,o,f,a,c,o,4.35,5.49,,,e,,,f,f,,m,e
u,5.24,x,t,n,f,e,,w,10.6,10.2,,s,n,u,w,f,f,,d,e
a,4.66,x,,r,f,d,,r,6.68,7.08,,,w,,,f,f,,l,e
u,2.21,x,i,l,f,a,,p,4.4,2.42,,,w,,,f,f,p,g,p
a,2.53,f,d,r,f,a,,r,4.9,5.37,,t,r,,,f,f,,d,p
s,1.96,b,g,o,f,,c,n,6.47,3.38,,,n,,,f,f,,g,p
a,3.31,s,d,n,t,d,c,p,4.46,5.74,,,n,,,f,f,,d,e
a,3.76,f,d,n,f,x,c,w,4.82,3.27,b,i,n,,,f,f,,l,p
s,1.43,x,w,g,f,,d,k,4.97,2.69,,,w,,,f,f,,d,e
a,2.28,x,i,e,f,,,e,3.71,4.71,,,e,,,f,f,n,d,p
u,8.18,x,i,n,f,a,c,n,8.53,8.61,,i,n,,k,t,z,k,d,p
w,3.41,f,t,o,f,a,d,y,7.01,5.45,,s,o,,,f,f,,d,e
w,6.25,f,s,b,f,x,c,w,6.33,9.69,,s,n,,,f,f,,l,e
a,9.1,x,e,n,t,p,,o,5.47,21.21,,,e,,,f,f,,d,p
u,3.9,b,g,w,f,x,d,w,4.4,2.85,,,y,,,f,f,,g,e
a,11.31,x,h,g,f,s,,y,7.1,16.35,,i,n,,,f,f,,d,p
a,8.17,s,t,p,t,d,c,o,5.1,16.13,,,w,,,f,f,,d,e
a,1.48,c,g,n,f,a,,g,4.67,1.45,,,g,,,f,f,,l,e
u,5.91,c,h,n,f,e,,w,12.3,12.16,,s,w,u,w,f,f,,d,e
s,10.67,x,s,n,f,e,c,p,7.65,9.67,,i,w,,,f,f,p,d,e
w,11.5,f,,g,f,s,c,u,7.73,20.44,,,u,,,f,f,,d,e
u,1.78,x,g,n,f,d,d,n,2.38,2.47,,s,n,,,f,f,,h,p
a,3.54,s,d,w,f,d,d,w,3.54,2.42,,h,w,,,f,f,,g,p
a,1.51,f,i,k,f,a,,p,2.63,2.18,,,w,,,f,f,p,g,p
u,4.24,x,y,r,f,s,c,u,6.35,8.7,,y,n,,,t,e,k,g,p
a,6.94,x,l,w,f,d,,p,3.51,8.8,,,w,,,f,f,,d,e
u,7.95,x,,n,f,a,,w,7.84,12.73,,,g,,,f,f,,g,e
w,11.07,x,s,u,f,x,,n,5.96,18.03,,,n,,,f,f,,d,e
a,0.8,b,t,y,f,,c,g,2.57,2.47,,,n,,,t,f,,g,p
a,20.51,x,w,n,f,p,,y,18.15,85.83,,,n,,,f,f,,d,e
u,7.74,x,i,y,f,a,c,k,7.62,7.11,,i,n,,k,t,z,k,g,p
w,10.43,x,s,n,f,a,d,w,9.16,14.29,,i,n,,,t,,w,d,e
u,7.82,o,l,n,f,f,f,f,7.88,60.43,,,n,,,f,f,g,d,e
a,9.51,p,y,n,t,e,,p,9.47,18.3,,y,w,,,t,l,,d,e
a,0.99,x,g,w,f,a,d,w,2.82,1.37,,,e,,,f,f,,d,p
a,0.96,x,g,n,t,a,,p,5.78,1.12,,,n,,,f,f,,d,e
w,3.99,b,t,n,f,,,k,12.82,6.65,,,w,,,t,,k,g,p
u,6.48,s,d,n,t,d,c,w,5.15,7.32,,,e,,,f,f,,d,p
a,10.81,f,e,b,f,,c,b,5.0,21.69,,,w,,,t,f,,d,e
u,6.2,x,t,n,f,a,d,n,5.99,5.43,,t,g,,,t,l,,d,e
w,17.99,x,e,n,f,d,c,w,10.04,26.2,s,,w,,,f,f,,l,e
u,3.69,o,,g,f,f,f,f,3.58,16.29,,g,n,,,f,f,,d,p
u,5.15,b,h,k,f,s,d,w,4.27,9.24,,s,g,,,f,f,,d,e
u,18.11,x,k,w,t,d,d,n,6.85,30.65,,,w,,,f,f,,d,p
u,8.72,o,,e,f,f,f,f,3.41,25.69,,g,n,,,f,f,,d,p
a,6.88,s,,n,f,d,c,w,4.72,7.65,,s,w,,,f,f,,h,e
u,1.38,c,g,n,f,a,,g,4.68,1.32,,,g,,,f,f,,l,e
s,4.68,o,s,y,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,13.77,f,s,n,f,d,c,y,4.4,24.76,,k,n,,,f,f,,d,p
w,9.67,f,,l,f,s,c,u,8.25,21.19,,,u,,,f,f,,l,e
u,4.8,f,,y,f,x,,w,5.81,6.93,,,w,,,f,f,,d,p
a,5.84,f,g,n,f,s,,y,8.27,10.68,,t,o,,,f,f,,d,e
u,5.51,x,t,n,f,a,d,n,5.61,5.13,,t,w,,,t,l,,d,e
u,4.5,x,,y,f,x,,w,5.02,6.52,,,w,,,f,f,,d,p
u,8.65,x,h,y,f,s,,y,6.92,16.76,,i,n,,,f,f,,d,p
a,8.93,x,,n,f,p,,p,12.0,33.14,c,,n,,,f,f,p,d,p
u,5.59,f,,y,f,a,c,w,5.32,15.34,,,g,,,f,f,,d,e
a,1.27,f,g,n,t,a,,p,5.43,1.02,,,n,,,f,f,,h,e
a,3.2,f,k,n,f,s,,p,4.03,2.51,,,n,,,f,f,p,g,p
a,3.69,x,h,r,f,s,c,g,5.86,7.25,,y,l,,,t,e,k,g,p
a,3.41,o,,w,f,f,f,f,5.35,29.95,,g,w,,,t,f,,p,p
a,3.62,f,k,w,f,s,,p,3.87,2.58,,,n,,,f,f,p,g,p
a,1.32,x,,n,f,,,k,5.08,2.58,,s,n,,,f,f,k,g,p
a,7.15,x,d,n,t,p,,y,6.33,14.99,,,y,,,f,f,,d,e
a,11.32,x,y,n,f,,,w,8.74,26.48,b,,n,,w,t,e,,d,e
a,10.84,f,e,b,f,,c,b,5.3,21.1,,,w,,,t,f,,d,e
u,5.23,f,w,y,f,f,f,f,4.61,12.35,,,y,,,f,f,,d,e
w,8.19,x,,n,f,s,c,p,8.16,20.23,b,,u,,,f,f,,d,e
u,12.35,x,s,e,f,a,d,w,9.01,14.08,,i,n,,,t,,w,d,e
u,7.97,x,s,n,t,p,,y,5.95,16.63,,,n,,w,t,p,,d,e
u,8.99,s,,y,f,a,c,w,6.06,13.96,,,w,,,f,f,,d,e
a,8.35,b,y,n,f,,,p,15.87,18.18,,,w,,,f,f,,d,p
a,11.63,x,t,n,f,a,d,w,9.64,27.12,,,w,,,f,f,,d,p
u,7.63,x,d,n,t,p,,y,7.0,14.45,,,y,,,f,f,,d,e
u,6.47,b,k,n,f,d,c,y,5.76,6.84,,i,n,,,t,,,d,p
u,11.69,x,t,n,t,d,c,n,7.18,17.03,,,n,,,f,f,,h,p
u,9.43,s,t,p,t,d,c,p,9.13,17.77,,,p,,,t,f,,d,p
a,5.08,x,s,o,f,e,,k,7.99,7.6,,,y,,,f,f,,g,p
u,6.83,x,s,e,f,d,d,w,8.92,15.65,,i,n,,,t,,w,d,e
a,10.77,x,i,n,t,e,,p,9.12,17.94,,y,w,,,t,l,,d,e
