Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
33,1,2,7,1,6.220768474905901,14,31,80,1,1
43,0,1,7,3,29.44915971520614,27,21,27,1,0
37,0,3,0,4,27.573962314091045,94,92,18,3,0
34,0,2,12,3,23.898160724476774,22,65,100,2,0
41,1,3,8,5,20.83946627072921,16,39,86,1,1
42,0,3,5,3,22.560524243216445,97,37,19,2,0
21,1,2,15,4,29.46489670673976,12,47,12,1,0
50,1,2,8,4,1.1038258800040603,13,54,76,2,0
46,0,4,2,4,14.03543870664261,10,74,42,2,0
29,0,1,11,5,26.913986034435553,27,80,10,3,0
21,1,3,2,4,37.11080493368231,41,54,47,2,0
45,0,1,5,1,9.707834619769816,95,50,14,3,0
36,1,2,8,4,28.344058689371646,98,59,16,3,0
27,0,2,6,3,36.72298419428909,60,7,53,3,0
20,0,4,13,3,23.231382895695234,63,85,49,2,0
28,1,4,12,3,2.3540566835025523,30,67,27,2,0
30,0,1,2,5,23.463407923281835,80,74,82,2,0
41,1,1,2,3,15.822244387207656,72,71,3,1,1
35,0,3,1,5,47.48248038506642,9,8,21,1,0
26,1,2,8,5,7.230669283916368,7,89,85,2,0
48,1,1,12,4,33.62379777536161,20,1,100,2,0
29,0,2,14,1,3.6359883167250575,76,79,38,3,0
42,1,2,2,4,23.308521890634825,58,94,33,1,0
45,0,4,10,4,28.69897436100403,49,69,96,1,1
22,0,2,4,5,15.897746565843272,68,84,43,2,0
37,0,2,13,5,23.75378177601922,69,89,41,2,0
44,1,2,13,3,9.177689726509369,29,58,39,1,1
43,1,3,8,3,16.206192473401806,94,18,96,3,1
32,0,2,7,4,32.055316245510156,16,27,11,2,0
47,0,2,1,2,16.090002793057756,74,71,1,2,0
45,1,2,2,2,45.98715392044358,19,13,27,3,0
26,0,3,15,3,32.420347882049484,47,23,73,2,0
44,0,2,15,2,22.932450921799223,72,43,85,2,0
23,1,1,1,3,2.9378467777091233,1,100,80,3,0
32,0,2,15,5,25.977416760233563,36,55,89,1,1
39,1,2,7,4,39.23881210625446,0,89,66,2,0
20,0,1,5,1,14.277879900620682,3,94,70,1,1
27,1,3,5,4,41.33867848243837,99,50,71,1,1
33,0,2,11,3,13.590338302544074,53,31,83,3,0
35,0,3,14,3,42.18731939754002,24,49,75,2,0
33,1,2,8,4,5.26341708058387,2,40,98,2,0
31,0,3,7,3,44.309185443451476,8,65,80,3,1
38,1,1,3,2,25.959322546666524,85,24,91,3,0
42,0,2,14,2,15.8268794810131,86,60,9,3,0
34,1,4,11,3,14.255662520757438,75,65,85,2,1
47,1,3,3,3,22.600527946518135,73,41,56,2,0
21,1,2,8,2,50.95247490518225,33,64,96,1,1
21,1,2,0,3,12.016369671879128,42,35,85,2,0
42,0,3,12,3,6.160832443949981,73,75,36,2,1
50,0,2,1,4,30.251758435933095,93,8,76,2,0
41,1,3,1,1,25.427123322012857,21,35,90,2,0
38,1,3,12,2,27.209813553165368,69,91,63,3,1
44,1,1,12,4,34.346770877860855,1,37,78,2,0
45,0,1,5,1,14.357203493532467,93,32,85,2,0
50,0,2,14,3,46.53324976919442,65,41,93,2,0
49,0,1,3,3,22.783603306114518,31,60,39,1,0
48,0,2,15,4,7.454309757123089,15,45,100,1,1
41,1,4,12,3,38.114937836697216,75,85,97,2,1
45,1,2,10,5,33.155217630892516,0,88,59,1,1
45,1,3,9,4,16.787170124201854,71,60,97,2,1
41,0,2,12,1,32.075936201702426,47,17,47,2,0
36,0,2,2,4,11.993097818448843,49,69,98,1,1
39,0,1,2,2,23.241967967026476,12,81,18,1,0
29,1,2,2,4,45.97062610836626,14,79,71,2,0
25,1,2,5,3,7.676711658037471,52,14,32,2,0
34,0,2,13,3,20.3348224993731,43,47,43,2,0
41,1,3,15,5,42.057121236017366,7,71,91,2,1
30,0,2,7,5,49.474544970308905,73,12,36,2,0
47,0,2,10,5,23.696306821089795,45,42,88,3,0
24,1,2,6,1,26.349981007167372,68,59,35,2,0
20,0,1,13,5,29.608598089188487,18,56,80,3,0
27,1,2,3,1,47.61740708168554,37,70,87,1,1
40,0,1,10,5,43.91033954885149,10,16,20,2,0
47,1,1,11,1,9.530056231082217,42,49,1,2,0
31,1,1,3,4,22.83789089235375,19,31,30,1,0
31,1,2,10,4,24.200021409821314,19,21,96,1,1
24,0,3,9,3,40.454805582437835,20,54,29,2,0
26,0,2,14,1,31.144644130271764,81,56,75,1,1
23,1,2,10,2,33.71102310145065,56,12,43,1,0
25,1,2,15,3,50.90999538328088,49,46,11,3,0
32,0,1,10,4,4.7480021735006535,73,86,50,3,0
39,0,3,13,1,12.15049117668665,97,61,48,2,1
49,0,2,10,5,21.39479686857734,25,53,23,2,0
34,1,2,1,2,18.38912015244436,29,28,23,3,0
22,0,2,13,4,2.082278067349179,72,21,59,2,0
42,0,1,15,3,5.588880323558792,30,64,10,1,1
27,1,2,0,1,35.04766457017881,41,28,12,3,0
39,0,2,8,2,44.96622316812803,67,47,90,2,0
35,0,3,11,1,26.71135056329888,60,4,71,2,0
32,0,1,14,5,27.95955397568165,60,34,73,2,0
37,1,2,11,3,13.75467164161897,69,73,71,2,0
47,1,2,1,1,39.39381818168557,77,82,63,3,0
29,1,1,12,4,38.58972936836282,67,100,19,2,0
49,1,2,7,3,30.41828446088283,89,70,71,3,1
38,1,3,14,4,11.633214325567142,16,45,72,3,0
36,1,3,15,1,5.850910911854473,18,34,70,2,0
43,1,2,8,3,4.211928792856295,50,44,77,2,0
50,0,3,3,4,30.63480333214389,69,12,27,2,0
38,0,4,7,5,42.25176595714,62,9,1,1,1
47,1,3,8,5,43.91652158904624,92,65,42,1,1
45,0,1,9,1,24.18110371717249,74,69,7,2,0
42,0,3,9,3,40.21356496533585,79,71,12,2,1
45,1,2,4,2,48.34400981705118,29,99,84,1,1
24,0,4,15,3,14.7585056244034,24,24,91,1,1
45,0,2,12,5,20.89801731903786,74,43,34,3,0
40,0,1,13,4,47.57394962983403,70,59,22,2,0
49,0,3,6,2,17.911548365864242,25,46,45,3,0
42,0,2,15,1,46.693814516089816,55,39,14,2,0
50,1,4,9,2,50.05224311272329,21,6,1,2,0
28,1,4,3,1,34.09053642872124,88,45,60,1,1
31,1,2,0,2,41.84451447520841,18,22,75,2,0
40,0,1,2,1,38.47727821105426,30,82,63,2,0
20,1,2,4,1,35.97671288077619,25,45,51,1,0
45,0,1,2,2,16.346553649061626,41,85,35,2,0
45,0,1,15,2,3.8547168953971855,40,12,66,2,0
20,0,3,11,1,18.15258662598253,99,20,68,2,1
34,0,2,12,5,34.34679926019533,22,0,66,2,0
21,1,2,10,2,6.126459911390069,46,18,46,2,0
49,1,4,6,3,1.5958991489121046,12,59,82,2,1
41,0,2,11,4,7.984618630146933,88,32,1,3,0
35,1,2,8,1,36.786796320539764,65,3,43,3,0
44,0,4,14,1,49.6396850828222,65,2,100,3,0
27,1,1,11,4,50.153234980741026,15,90,63,2,0
32,1,3,5,5,25.698957457009396,72,51,80,2,1
40,0,4,12,4,44.46761504961737,27,98,77,2,1
20,1,4,9,2,37.8413227875752,76,27,27,1,1
35,0,2,0,4,26.052011849230173,34,69,90,3,0
48,1,2,15,1,29.638026647754337,40,69,53,2,0
26,0,2,6,4,7.861357330843553,76,54,73,1,1
50,0,3,14,3,47.8830730308296,30,56,66,1,1
24,1,3,2,2,18.59648853658884,84,86,35,3,0
41,1,2,4,4,23.307462822858476,31,96,62,1,1
48,0,2,15,1,34.583011549894934,53,15,24,1,0
42,1,1,9,2,17.695123576327696,97,23,85,2,0
22,1,1,3,1,13.712958049446527,71,68,47,1,1
31,0,3,9,5,32.55246966351103,58,40,38,3,0
45,0,2,4,3,2.2492041140924726,40,76,46,2,0
35,1,4,4,5,37.03625560133394,65,46,93,2,0
38,0,3,5,3,26.701168493825488,95,75,20,3,0
24,0,1,13,4,31.28768652604672,53,68,29,2,0
41,0,2,9,2,32.59400796234426,39,100,91,2,0
44,1,2,11,4,27.352507824628184,27,30,30,2,0
48,1,2,9,3,30.126688872036798,36,91,25,2,0
33,0,3,12,3,35.18941004449373,64,91,21,2,0
47,1,3,12,3,38.65594235898371,73,29,20,2,0
24,0,3,10,1,37.37261956430603,54,17,0,3,0
34,1,2,5,2,44.48082288661308,3,43,36,2,0
36,0,1,15,4,10.472171658370138,98,26,76,3,0
49,0,3,7,4,21.057398474589878,9,98,84,2,1
33,1,1,7,5,48.38980330072285,46,25,45,2,0
49,0,2,10,3,20.829528719316485,74,59,8,3,0
39,1,1,8,3,7.243503845296133,13,17,16,1,0
24,1,2,7,3,27.272256318108976,37,96,46,2,0
31,0,1,12,4,6.474548627723108,11,88,84,2,0
35,0,2,10,5,11.14266193639326,44,55,94,2,0
45,1,4,1,1,50.91593782854783,16,30,58,1,0
45,0,1,13,2,28.0681319198066,79,100,53,2,0
35,0,1,13,1,15.202919452021451,34,58,85,2,0
40,0,2,11,4,50.7387477286953,65,1,11,2,0
26,0,3,9,3,49.32794592775716,74,96,63,3,1
23,0,2,11,2,23.036952054213177,40,38,5,3,0
20,1,2,10,4,14.02015543939542,66,60,52,2,0
49,1,1,14,4,42.9199819046095,28,62,15,3,0
49,0,3,15,4,36.78103584858929,17,95,89,2,1
24,0,2,0,2,35.347071750175516,19,17,4,2,0
42,0,3,9,2,45.655687066123626,13,16,72,2,0
45,1,4,1,5,35.47085669356623,33,97,45,2,0
29,0,2,1,5,15.189897152077457,48,38,13,1,0
41,1,3,11,1,35.693158093786614,53,70,43,2,0
24,1,1,2,2,16.290675564183196,30,53,62,2,0
23,1,3,9,2,38.961948982849755,57,98,93,2,1
21,0,2,6,2,31.9873927245783,41,93,51,3,0
39,1,3,1,5,4.870577599237529,57,75,25,2,0
50,0,1,13,4,26.641768121757103,81,34,52,1,1
29,1,1,15,3,18.165048459787048,29,10,28,2,0
45,0,2,0,5,17.428531636614714,24,60,18,2,0
38,1,2,15,2,31.112815118862862,62,43,46,2,0
45,0,2,13,5,17.116241223471246,18,67,7,1,1
20,1,2,5,1,39.84468741024364,71,24,22,2,0
43,0,1,8,2,4.539571800558722,91,47,34,3,0
24,0,2,14,1,34.019412619791275,7,31,94,2,0
32,0,3,2,2,41.45974018283706,94,83,52,3,0
23,0,2,5,5,34.6415844960215,2,94,98,3,0
35,1,1,2,4,25.86145975099979,66,3,95,1,0
43,1,2,13,3,48.51535068680906,85,37,57,2,0
35,0,1,12,1,15.99692448990318,80,62,4,2,0
42,1,4,0,5,1.958394376248889,99,46,15,1,1
21,0,1,13,4,22.599468573172043,16,0,16,2,0
36,0,3,12,5,2.6505967950163623,13,2,31,2,0
47,1,4,15,1,48.69683762632044,8,100,95,1,1
46,0,3,11,3,11.495902287402576,61,85,51,3,0
39,0,2,4,5,40.446351197443974,93,61,19,2,0
43,1,3,9,2,39.72860415871824,20,63,65,3,1
31,0,4,13,4,11.886444984146676,75,16,83,2,1
37,0,2,12,5,32.061326524008365,36,77,81,3,0
22,0,2,10,4,3.4039484243225107,95,61,0,2,0
47,0,2,3,2,25.178729285193373,10,34,57,1,0
20,1,2,6,3,1.7323563636243369,19,12,92,2,0
20,1,2,5,3,47.05719400904209,34,34,92,2,0
48,1,2,9,2,49.80430120997858,52,42,82,2,0
38,0,2,6,4,12.114138331929263,46,1,43,2,0
30,0,1,4,5,11.405301729818639,74,55,5,1,1
24,1,1,14,2,38.68600882810648,51,76,49,2,0
31,0,2,14,1,13.668969941466724,7,50,71,2,0
22,0,1,3,4,45.75382795809225,3,53,87,2,0
20,0,2,15,3,29.69645680614911,26,15,19,2,0
20,0,2,6,2,18.538881150515607,43,17,13,3,0
27,1,3,6,3,42.634687317471005,39,6,4,2,0
29,1,1,5,4,25.67033502066976,46,44,40,2,0
30,1,2,7,3,46.58164568542378,93,35,39,3,0
31,0,3,3,2,47.40071183646905,43,40,33,2,0
48,1,2,9,4,9.271007606420467,47,93,79,1,1
32,1,1,4,1,1.1161703065965136,90,41,44,1,0
31,0,3,3,2,50.19654700712011,84,6,70,2,0
50,0,3,11,5,46.30687680637397,51,14,79,1,1
33,1,2,0,2,3.772261785192071,83,59,70,2,0
21,1,2,11,4,42.651713197053496,67,39,26,1,0
48,1,4,7,2,23.89024662796033,10,82,77,1,1
38,1,2,0,1,13.948080251248761,76,36,77,2,0
37,0,2,4,1,44.937326183846494,72,65,43,3,0
22,1,3,14,5,10.833361619515363,3,54,32,2,0
42,1,2,5,3,48.36499997100335,75,76,32,3,0
36,0,2,5,4,11.281074384967054,72,94,43,3,0
45,1,2,12,4,31.684159386437177,76,79,19,1,1
27,0,3,4,3,12.154316726448743,47,55,35,2,0
48,0,2,15,1,28.283433248431738,25,43,6,2,0
45,0,2,2,1,35.19875649575707,76,56,31,3,0
29,1,2,14,2,10.511396541006878,38,5,66,2,0
45,1,2,4,5,27.04428913503396,91,91,38,3,0
49,0,2,11,5,24.45298721950595,57,31,92,1,1
21,1,3,7,5,4.551871070167062,18,73,23,1,1
38,1,2,13,2,41.91539088376515,87,17,85,2,0
28,0,1,1,5,17.784120032142084,82,67,69,2,0
26,0,3,15,3,29.729109877593977,76,72,87,1,1
23,1,1,5,2,26.73921174665672,76,6,86,2,0
45,0,4,8,3,26.663025228522113,57,7,53,1,1
40,1,1,7,2,6.361119710424372,27,63,37,2,0
37,1,2,13,5,22.17410046246664,65,6,73,3,0
32,1,1,10,3,23.61833796032851,9,40,79,3,0
30,1,4,7,3,37.68214201822242,85,39,74,2,1
48,0,2,7,3,43.00094159603493,76,2,31,2,0
43,0,1,14,2,28.2491139050009,57,16,44,2,0
23,0,2,12,4,5.339147703249524,72,65,60,1,1
44,0,1,6,5,12.842473529827313,96,78,69,2,1
40,1,1,7,3,9.246701342636554,13,92,87,1,1
48,1,4,12,4,7.230753159456237,83,51,96,3,1
44,0,2,5,5,19.29496493089038,14,21,52,3,0
23,1,3,1,5,12.469675107719102,95,3,50,2,0
29,1,2,1,3,11.915155590575615,32,5,75,2,0
24,1,2,7,3,3.7346587288133826,16,37,55,1,0
28,0,1,10,2,1.883502239771694,23,25,26,2,0
43,0,2,0,4,6.13841213248909,29,10,37,2,0
22,0,3,5,4,9.609873971181653,61,89,61,2,0
36,1,4,12,3,22.549186442410157,12,16,17,1,1
22,0,2,15,5,26.526013064942234,61,87,63,3,0
35,0,2,5,3,8.029595908668279,46,91,76,2,0
23,0,2,15,5,22.239167076209313,15,98,29,3,0
37,0,4,10,5,18.087442116296366,65,30,48,3,0
36,0,2,3,3,10.171182174897801,80,76,40,3,0
26,0,2,11,1,1.3420374074181776,95,34,12,1,1
43,1,3,10,4,24.350893326087085,42,15,33,1,1
42,1,1,12,5,35.282587463259965,7,78,99,2,0
49,0,1,14,5,12.313866707190352,2,17,93,1,1
24,0,2,10,1,7.590341494833968,11,100,24,2,0
31,1,4,15,2,45.35213722234809,83,61,65,2,1
36,1,2,12,1,14.751238624389888,15,26,99,2,0
42,0,2,9,1,12.180630989633238,77,34,17,1,1
32,0,2,2,5,43.85484698049579,79,44,4,3,0
42,0,2,12,4,41.85535495833806,58,34,18,1,0
44,0,2,10,1,23.41732352623168,48,27,41,2,0
22,1,2,2,2,25.461943071388724,62,8,17,2,0
28,0,2,14,3,11.887435241701098,61,75,31,2,0
49,0,2,14,1,4.9150835239778745,48,14,20,2,0
36,0,2,15,1,29.671591267783054,50,20,9,1,0
36,0,2,12,2,5.917246079510656,32,51,36,2,0
49,1,3,12,4,23.463727347832492,29,34,48,1,1
39,1,1,0,1,48.02485992565054,58,96,85,1,1
35,1,3,2,1,48.64171945852922,75,50,12,2,0
44,0,3,3,4,12.96661432736793,14,82,54,2,0
41,0,2,10,2,32.20567100228272,81,54,16,2,0
32,1,2,10,1,24.703813205392883,91,86,8,2,0
46,0,2,4,4,44.7842563793053,22,76,87,3,0
38,0,2,2,1,14.571543213802661,77,43,43,3,0
36,1,2,5,3,1.1851203416208425,93,64,77,2,0
23,1,1,10,5,9.128060296570755,96,92,45,1,1
31,1,2,13,3,18.476140058469902,44,87,7,2,0
48,1,3,14,1,16.78605648852443,61,79,36,1,1
28,0,2,11,2,40.5681459561443,78,24,18,2,0
38,0,3,15,5,35.02803330694189,70,86,62,2,1
31,1,2,4,3,15.977815980744863,14,91,91,2,0
28,0,3,2,4,23.887190858310667,45,46,45,2,0
26,1,2,5,2,5.777955197916761,63,79,93,1,1
47,1,1,5,3,45.90732224100504,45,55,70,2,0
33,0,2,14,4,47.77124122242671,55,37,25,2,0
50,1,1,13,1,49.990176769046904,43,10,45,2,0
39,0,2,7,4,44.42764153929188,74,66,45,2,0
38,0,4,1,3,9.698044384811276,28,14,74,2,0
45,0,1,0,3,3.3098241600814418,94,0,13,2,0
34,0,2,15,1,29.9798363706337,61,6,84,2,0
35,1,3,3,4,46.63025134415552,88,0,62,1,1
40,0,3,15,4,9.867568082987143,51,48,71,1,1
24,1,2,6,1,1.352145731207093,53,95,2,2,0
22,1,2,14,4,41.27480230161222,87,72,27,1,1
31,1,2,15,1,4.8397842143367,56,28,28,2,0
44,1,2,10,2,21.68530159550152,82,25,86,2,0
39,0,3,9,3,34.94436685943925,65,86,17,3,0
46,0,4,2,2,12.839879272809007,21,44,34,3,0
40,1,3,2,5,5.198128172336335,19,92,76,1,1
23,1,3,15,5,39.50106142279143,32,96,75,3,1
40,0,1,4,5,32.508754244352076,71,70,46,2,0
42,1,3,4,1,50.42452422434024,24,11,4,2,0
35,0,3,12,4,18.215401665997966,45,94,74,1,1
44,1,1,9,2,4.088119314509985,72,31,58,3,0
26,0,3,2,2,37.71750176676479,97,19,74,1,1
32,1,2,8,2,27.08667094266228,56,50,58,3,0
40,1,2,3,2,11.660196569456753,86,80,46,1,1
29,0,3,12,5,40.08644945023797,4,35,94,2,0
45,1,2,12,2,11.187774292497187,54,66,94,2,0
26,1,1,14,4,14.03308274164683,60,0,12,1,0
33,0,2,2,5,5.6264277183359575,88,26,77,1,1
50,1,2,10,2,20.97161395154272,7,39,88,2,0
45,0,4,1,1,21.946461196870946,15,96,32,1,1
24,0,2,9,3,26.728089517414922,47,83,96,2,0
22,1,2,12,3,36.44821335618887,60,13,61,2,0
42,1,3,10,3,46.30504643402129,14,99,78,3,1
48,1,2,8,5,7.886704944390432,64,68,15,2,0
30,1,2,3,2,3.717404917432853,21,86,43,1,0
30,1,2,15,5,1.9265616797166643,2,78,57,2,0
37,1,3,2,4,8.181068903440814,53,5,5,1,0
34,1,2,6,1,33.897474289081295,13,32,88,3,0
31,0,2,7,1,37.37385389982483,35,54,14,3,0
28,1,1,10,3,40.32528567640611,81,18,3,2,0
29,0,1,13,3,13.185410595217133,81,76,55,1,1
45,1,1,1,3,16.294740663075995,66,28,63,3,0
31,1,1,6,2,25.156732278274973,9,60,67,3,0
36,0,2,11,4,4.159154843011325,48,69,93,3,0
48,1,3,4,4,31.557076160562307,64,78,33,3,0
25,1,2,14,4,50.18675168378789,90,79,90,2,1
26,0,3,10,4,19.040315568900127,56,23,94,1,1
33,1,4,4,3,38.6423737545692,26,22,55,2,0
32,1,3,2,1,26.0016957784804,74,9,31,2,0
27,1,2,4,3,7.390592218019137,4,53,8,2,0
29,0,2,11,4,30.111872440129318,70,40,62,2,0
28,1,2,1,3,15.993713422203248,82,48,71,1,1
37,1,1,3,4,2.7201604226729117,56,16,77,2,0
46,1,2,5,5,32.74648650588719,92,55,32,2,0
45,1,4,0,1,43.94661746623638,14,44,86,1,1
21,0,3,9,5,18.23848834499371,98,29,20,2,0
24,0,2,3,2,20.514777360638526,100,43,54,3,0
48,1,2,5,3,45.55108414836057,75,73,75,3,0
24,1,3,8,2,41.680440668367794,29,54,56,2,0
25,0,1,13,3,36.747641177588854,19,18,1,2,0
38,0,2,10,5,13.439853187657397,36,28,12,1,0
27,1,3,15,4,46.51083274833223,2,1,3,2,0
35,0,2,10,4,8.72078787696065,72,35,83,2,0
32,1,1,12,3,32.33852597086109,40,18,49,2,0
20,0,2,1,4,2.440059027325935,38,6,47,3,0
41,0,3,10,5,33.18599031624729,25,25,77,2,0
39,0,2,6,4,14.857217593667992,1,78,29,1,1
36,0,2,5,5,23.483848859186,22,37,28,1,0
50,1,2,1,2,18.263227602852655,22,2,7,2,0
26,0,2,7,5,9.637837812310496,84,79,11,2,0
44,0,2,6,1,32.09903950469371,15,65,40,3,0
32,1,3,10,1,45.09877775703037,8,94,25,2,0
23,0,1,4,1,48.95421211412017,12,91,49,2,0
23,0,3,11,3,10.617318157695752,27,70,1,2,0
25,1,1,4,3,36.86863870314867,26,93,54,2,0
47,0,2,6,3,34.21696833028411,50,42,55,2,0
50,1,1,8,5,18.168889478728627,63,61,13,2,0
38,1,2,10,3,1.9549599676862919,51,70,5,2,0
48,1,2,14,2,35.48956236564331,80,99,94,1,1
31,1,2,8,1,48.274743027975006,37,92,80,3,0
41,0,1,8,5,32.60600609578257,99,23,88,2,0
26,1,2,5,1,22.764636209381706,64,38,60,1,0
46,0,1,9,3,27.257694705581418,17,67,95,1,1
29,0,3,5,5,10.981440382995876,62,92,11,1,1
45,0,4,2,4,38.52720818768688,50,43,12,2,0
38,0,2,0,2,38.320991500492454,8,4,18,1,0
26,0,2,15,3,8.275865019371247,12,54,43,1,1
49,0,2,6,3,44.89891912498295,39,92,88,2,0
22,0,1,3,2,14.459486973665264,54,29,94,2,0
32,0,2,0,2,50.11280304683074,78,28,58,1,0
32,0,3,14,4,20.145150701862292,42,25,36,2,0
37,0,2,7,3,9.894202936724982,43,82,24,2,0
47,1,1,11,3,18.586005567282616,67,25,15,3,0
49,1,3,5,1,23.009016434859657,32,36,37,2,0
45,1,2,5,5,4.465388651914742,23,90,42,1,0
39,0,3,1,5,29.910919061164474,35,93,86,2,0
47,1,2,14,1,30.881621993445016,9,52,13,2,0
27,1,2,0,5,37.94652276747361,99,29,5,1,0
48,1,1,12,2,2.4584946145371647,19,2,88,3,0
50,0,1,13,5,28.061910721691508,74,42,22,2,0
28,0,4,13,5,3.6453716635332194,11,6,59,3,0
26,0,2,1,1,36.05721099833267,61,48,11,2,0
20,0,4,3,4,3.7863992850492236,17,72,12,2,0
22,1,2,1,5,46.58639241708163,93,40,99,2,0
32,1,1,15,5,36.104128344224826,100,76,97,2,1
47,1,1,0,4,26.369488254257856,62,78,5,2,0
49,1,2,6,1,23.075196164058745,83,53,62,3,1
44,0,4,10,4,7.5336315206631195,24,68,37,2,0
50,0,2,10,1,15.549969478233155,11,92,49,3,0
47,0,2,14,2,44.44795525104481,20,98,51,3,0
36,1,2,11,1,46.2226405781247,24,90,39,3,0
44,0,1,7,2,1.0373854185265532,10,26,7,2,0
43,0,2,5,2,30.706819573877564,63,7,60,2,0
20,1,1,3,1,36.96503045125568,72,31,7,1,0
25,1,3,13,3,31.937349122880313,49,83,96,2,1
40,0,2,5,1,5.083988243317699,61,63,33,1,0
25,0,2,2,5,11.886244939945112,88,9,78,1,1
45,0,2,11,5,13.517013369069302,98,12,99,1,1
31,0,2,7,3,42.58623156525449,95,62,59,3,0
32,0,4,9,2,24.159971815446024,48,92,56,3,0
32,0,2,13,3,25.34141059706184,13,34,98,2,0
48,1,1,12,5,47.744652327725426,0,60,45,2,0
34,1,2,12,3,32.85429444273578,80,53,21,2,0
40,1,1,1,1,45.93338507763319,24,7,86,2,0
35,0,1,4,3,23.825442767076648,58,28,39,2,0
41,1,4,0,2,8.471812925914712,71,94,44,2,0
40,0,3,5,1,47.496779703704284,68,40,54,2,0
30,0,4,1,4,23.935255783376913,4,29,50,2,0
47,1,2,3,5,10.081571093941093,98,85,85,2,0
24,0,2,5,5,16.11978701519611,18,20,4,2,0
23,0,1,9,3,3.540129484447112,22,75,94,3,0
22,1,2,10,1,24.415029572819257,8,10,12,1,0
38,1,3,7,4,43.65640859551183,93,1,27,2,0
39,1,2,11,1,47.679022800334465,49,49,83,2,0
44,0,3,7,5,47.630110375182184,15,40,96,1,1
37,1,3,10,1,7.261501281437337,32,65,79,2,1
34,1,1,5,4,20.102694125552848,1,97,61,1,1
28,0,2,3,3,2.4114379825353183,13,2,92,2,0
36,1,2,7,2,43.75826724857364,0,79,86,2,0
33,1,2,12,1,18.93778810106369,89,50,23,2,0
34,1,3,7,2,32.555851394611736,57,67,97,2,1
50,0,2,9,5,36.74492190386443,88,86,6,1,1
20,0,1,13,3,22.49223348715777,15,83,37,2,0
40,0,2,0,3,16.32211682751215,78,24,36,1,0
41,0,4,15,1,49.11064550579724,89,29,67,3,1
41,1,1,3,3,49.22441125119271,46,81,97,3,0
22,0,3,3,1,15.471818401501096,43,10,41,2,0
35,0,2,6,1,24.981254837222902,79,92,85,3,1
42,1,3,15,2,49.64220793300112,13,16,4,2,0
44,1,3,13,3,1.2434203827751613,92,25,63,3,1
30,1,2,13,1,21.63391241895746,23,22,49,2,0
31,0,2,10,2,6.022877484048421,54,55,86,1,1
29,0,3,6,4,26.45789827813013,14,51,14,3,0
35,0,2,15,2,2.2334977270243574,82,47,94,1,1
27,1,3,12,2,21.344921569531394,71,19,72,1,1
25,1,1,10,1,12.034953739266756,33,1,52,1,0
31,0,3,14,5,27.66541812293704,1,87,24,2,0
43,1,3,7,5,50.79968245503498,26,30,88,2,0
47,1,4,15,5,41.02680525633738,73,26,84,2,1
40,1,1,10,2,43.28210458122107,98,1,8,3,0
27,0,2,4,1,32.763249367954046,86,77,37,1,1
45,1,2,6,3,3.077992413612928,71,3,21,3,0
47,1,2,7,2,11.339883802207206,91,12,86,3,0
23,0,2,15,2,47.25322782235275,22,99,48,1,1
45,0,1,14,1,19.30565589643756,67,34,67,2,0
27,1,3,8,4,6.181836324039779,13,71,92,3,1
45,1,2,2,2,36.1202682933101,62,65,14,2,0
47,0,1,2,4,15.972886196712732,92,5,64,2,0
37,0,2,3,4,14.442845645208584,64,30,53,2,0
47,1,2,4,5,50.89887277791302,67,9,29,2,0
47,1,1,9,1,43.90694625133272,62,20,92,1,1
24,1,4,0,4,21.396890918392053,95,73,19,2,0
28,1,4,14,1,50.013060390824954,96,22,32,1,1
23,0,2,14,5,33.50566117096068,89,2,99,2,0
46,1,1,6,1,38.10112259398801,80,31,85,3,0
41,1,3,8,2,2.5756521541105792,86,19,76,2,1
50,0,2,7,4,7.080262967402855,63,73,6,3,0
36,1,2,14,1,32.65425632481192,31,28,7,2,0
28,0,2,14,3,45.951199132474194,78,51,27,2,0
20,1,2,4,1,32.18718630437978,12,45,44,2,0
40,1,2,13,4,7.701244715949589,65,33,72,3,0
39,0,2,13,5,6.788002312316232,18,100,88,2,0
32,0,2,3,5,43.20929479120408,23,83,79,1,1
47,1,4,11,4,7.965116935395716,87,60,73,3,1
35,1,2,6,2,27.01159802520127,10,71,10,2,0
48,1,3,4,2,2.8556659981151133,58,70,30,1,1
32,0,3,6,5,5.033488369558869,85,69,11,2,1
33,1,2,11,5,34.61741338214324,14,10,94,3,0
22,0,2,0,4,35.459070521375835,9,81,77,2,0
48,0,2,0,2,18.07347033042212,40,92,50,2,0
25,1,2,15,5,11.780488262152238,26,88,43,3,0
37,0,3,9,2,41.6855135378654,59,62,95,2,1
38,1,2,13,5,11.855161473494517,72,20,49,2,0
24,1,4,12,1,28.101353483318984,51,2,16,1,1
34,1,1,2,3,49.410442043145274,27,81,34,1,0
44,1,1,13,1,8.39262189311919,64,87,0,2,0
21,1,2,10,5,48.04381337473544,16,9,28,3,0
29,0,2,1,3,10.144652653433432,94,26,50,1,0
43,0,2,1,3,29.372160401161477,43,11,63,2,0
49,1,2,6,5,19.85038559793723,9,6,3,1,0
37,1,2,11,5,49.2464300750913,62,16,86,2,0
46,0,1,9,2,14.677101450096846,100,64,27,1,1
32,0,4,1,5,20.982900104287683,92,63,15,1,1
24,0,2,10,4,50.14300589277102,81,25,62,1,1
